,income
26856,1
13458,1
25271,0
31148,0
15785,0
25918,1
11817,1
5603,1
32188,1
31830,0
1154,1
30202,1
5817,0
1212,1
25644,1
6138,1
24761,1
32498,1
13872,1
14216,1
3272,1
13294,1
10279,1
24764,1
11804,1
4963,1
11711,1
24693,1
8540,0
1808,1
16747,0
31149,0
6094,1
24549,0
13652,1
24373,1
28775,1
7522,1
32499,1
23803,1
23931,1
29920,1
4989,1
10552,1
22029,1
9817,0
9057,1
10864,1
25658,1
3481,1
4893,1
26590,1
14129,1
23899,1
29046,0
7633,1
6647,1
11231,1
27646,0
29350,1
1492,0
7007,1
25498,1
1203,0
31267,0
4390,0
10473,1
16950,1
782,0
31200,0
14127,1
32454,1
24378,0
14951,1
6749,1
28813,1
25607,1
1181,0
16865,0
20455,1
26673,1
18376,1
17424,1
17582,1
31717,1
25206,1
26284,0
26577,1
24449,1
24669,0
7531,0
18946,1
15085,0
13641,0
13634,1
2329,1
18071,1
31080,0
14039,1
22231,1
6280,1
18171,1
7029,0
1428,1
19821,1
28083,1
3931,1
14433,0
28059,0
15044,1
4780,0
4505,1
12797,1
2875,1
4402,1
25037,0
31412,0
15777,0
13456,1
9160,1
3308,1
652,0
7695,0
12279,0
28588,1
29500,1
24262,1
25722,0
14389,0
19166,0
6274,1
29368,1
441,1
30878,1
7059,1
16974,0
3650,1
9251,1
4532,1
31671,0
16814,1
29037,1
31196,1
7954,1
27828,1
29897,1
13503,1
10839,1
20522,0
238,0
8246,1
21912,0
11273,1
20713,1
12738,1
5288,1
16485,1
21173,1
29019,1
410,1
24719,1
705,0
26201,1
22982,1
8107,1
27024,1
1978,0
29712,1
14513,0
23590,0
30017,1
2336,1
13272,0
12743,1
659,0
3911,0
25598,1
6371,1
25995,0
7271,0
15987,1
25790,1
6816,0
22358,1
29160,1
10216,1
18606,1
15454,1
25609,1
17486,1
3723,0
15990,1
7054,1
13303,0
4643,1
5804,1
28864,1
26771,1
23362,1
29148,1
24337,1
13728,1
12305,1
16605,1
19781,1
31859,1
19364,0
20395,1
7441,0
23178,1
30146,1
20468,1
15576,0
251,1
3563,1
5688,0
6106,1
17173,0
10464,1
8831,1
28246,0
16482,0
5600,0
82,1
26479,1
11799,0
1205,0
29423,1
24253,1
2403,0
8891,1
2603,0
815,1
13255,1
24050,1
8191,1
10918,1
8298,1
2568,1
1741,1
519,0
23059,1
23094,1
11325,0
23816,1
4417,0
20469,1
11667,1
26974,0
18546,1
280,1
30282,1
23867,0
16210,1
30993,1
28990,1
6025,0
3850,0
6893,1
27190,1
31458,1
24907,0
8497,0
5445,1
32235,1
2942,1
15506,1
28999,0
4868,1
20939,1
20504,1
23282,1
9877,0
